Outlet LOI,comid,ffm,wyt,p10,p25,p50,p75,p90,unit,source,gage_id,observed_years,alteration
1111,11111111,ds_dur_ws,all,121.83,157.09,174.81,204.22,228.36,days,model,,,
1111,11111111,ds_dur_ws,dry,119.25,154.52,177.12,204.13,226.33,days,model,,,
1111,11111111,ds_dur_ws,moderate,125.13,155.66,172.6,192.65,222.17,days,model,,,
1111,11111111,ds_dur_ws,wet,125.07,159.61,179.18,210.66,229.63,days,model,,,
1111,11111111,ds_mag_50,all,0.35,0.48,0.68,1.03,2.03,cfs,model,,,
1111,11111111,ds_mag_50,dry,0.22,0.39,0.56,0.9,1.85,cfs,model,,,
1111,11111111,ds_mag_50,moderate,0.36,0.49,0.69,1.08,2.11,cfs,model,,,
1111,11111111,ds_mag_50,wet,0.4,0.54,0.73,1.07,2.12,cfs,model,,,
1111,11111111,ds_mag_90,all,1.21,1.69,2.41,3.47,5.2,cfs,model,,,
1111,11111111,ds_mag_90,dry,0.79,1.29,2.02,3.24,4.96,cfs,model,,,
1111,11111111,ds_mag_90,moderate,1.21,1.65,2.37,3.41,5.03,cfs,model,,,
1111,11111111,ds_mag_90,wet,1.5,1.95,2.7,3.8,5.48,cfs,model,,,
1111,11111111,ds_tim,all,216.09,228.85,241.95,255.16,271.41,water year day,model,,,
1111,11111111,ds_tim,dry,206,229.58,243.35,259.78,277.46,water year day,model,,,
1111,11111111,ds_tim,moderate,218.28,232.07,243.55,256.93,264.62,water year day,model,,,
1111,11111111,ds_tim,wet,217,226.6,238,249.28,264.5,water year day,model,,,
1111,11111111,fa_dur,all,2,2,3,5,6.5,days,inferred,,,
1111,11111111,fa_mag,all,1.4,2.38,4.2,8.32,17.05,cfs,model,,,
1111,11111111,fa_mag,dry,1.12,1.95,3.11,6.59,14.65,cfs,model,,,
1111,11111111,fa_mag,moderate,1.4,2.3,4.23,8.45,14.95,cfs,model,,,
1111,11111111,fa_mag,wet,1.77,3.19,5.05,12.86,20.8,cfs,model,,,
1111,11111111,fa_tim,all,7.61,14.28,22,27.5,35.6,water year day,model,,,
1111,11111111,fa_tim,dry,7.5,15.05,25,29,35.52,water year day,model,,,
1111,11111111,fa_tim,moderate,8,13.5,20,27.75,41.25,water year day,model,,,
1111,11111111,fa_tim,wet,7.11,14.59,21.3,26,32,water year day,model,,,
1111,11111111,peak_10,all,437.76,481.55,492.55,495.98,623.83,cfs,model,,,
1111,11111111,peak_2,all,205.37,249.94,266.66,295.07,361.97,cfs,model,,,
1111,11111111,peak_5,all,372.24,377.65,381.25,408.1,512.54,cfs,model,,,
1111,11111111,peak_dur_10,all,1,1,2,2,3,days,inferred,,,
1111,11111111,peak_dur_2,all,1,1,3,8,18.8,days,inferred,,,
1111,11111111,peak_dur_5,all,1,1.25,2.5,3,5.7,days,inferred,,,
1111,11111111,peak_fre_10,all,1,1,1,1,2,occurrences,inferred,,,
1111,11111111,peak_fre_2,all,1,1,2,3,5,occurrences,inferred,,,
1111,11111111,peak_fre_5,all,1,1,1,2,3,occurrences,inferred,,,
1111,11111111,sp_dur,all,28.59,36,44,55.4,83.25,days,model,,,
1111,11111111,sp_dur,dry,29.86,38.25,48.5,61,93.03,days,model,,,
1111,11111111,sp_dur,moderate,28.48,36.25,44.55,53.9,78.28,days,model,,,
1111,11111111,sp_dur,wet,26.24,34.87,41.58,51.77,74.27,days,model,,,
